symbol,name,qty,averagePrice
PFE,Pfizer Inc.,180,40.50
JNJ,Johnson & Johnson,90,175.80
PG,Procter & Gamble Company,110,150.70
KO,Coca-Cola Company,250,55.25
PEP,PepsiCo Inc.,130,170.90
HD,Home Depot Inc.,80,300.60
LOW,Lowe's Companies Inc.,160,200.40
MCD,McDonald's Corporation,100,250.35
NKE,Nike Inc.,70,160.85
DIS,Walt Disney Company,140,100.50
XOM,Exxon Mobil Corporation,220,110.10
CVX,Chevron Corporation,150,160.70
T,AT&T Inc.,300,25.20
VZ,Verizon Communications Inc.,200,40.95
IBM,International Business Machines Corporation,90,130.60
CRM,Salesforce Inc.,60,200.15
ADBE,Adobe Inc.,40,500.80
NFLX,Netflix Inc.,50,350.25
PYPL,PayPal Holdings Inc.,120,80.55
META,Meta Platforms Inc.,80,220.90
